Audi;2000;1.420;1.440;t
Opel;1998;1.024;1.040;t
Citroen;1999;1.205;1.220;t
Renault;2004;1.720;1.740;t
Fiat;2004;0.815;0.830;t
Audi;1987;0.980;1.000;t
Opel;2001;1.350;1.370;t
Fiat;1999;0.695;0.710;t
Audi;1997;1.320;1.340;t
Seat;2000;1.030;1.050;t
Nissan;2004;1.465;1.480;t
Renault;2002;1.185;1.200;t
Opel;2001;1.320;1.340;t
Mercedes-benz;1992;1.375;1.390;t
Citroen;2003;0.982;1.000;t
Fiat;1978;0.612;0.630;t
Daewoo;1999;0.795;0.810;t
Bmw;2007;1.285;1.010;f
Opel;2001;1.445;1.460;t
Fiat;2004;0.835;0.850;t
Audi;2004;1.809;1.830;t
Nissan;2000;1.165;1.180;t
Audi;2001;1.465;0.540;f
Volkswagen;1998;1.257;1.280;t
Ford;1998;1.034;1.050;t
Seat;2000;1.023;1.040;t
Peugeot;1998;0.980;1.000;t
Opel;1997;0.815;0.830;t
Opel;2004;1.388;1.410;t
Seat;1998;0.899;0.920;t
Opel;1999;1.135;1.150;t
Mercedes-benz;2006;1.900;1.920;t
Opel;1999;0.970;0.990;t
Opel;2004;1.420;1.320;t
Alfa-romeo;2001;1.225;1.140;t
Opel;1999;1.230;1.250;t
Fso-warszawa;1989;1.085;1.100;t
Opel;2005;1.498;1.520;t
Ford;2000;1.901;1.920;t
Volkswagen;1990;1.183;1.200;t
Citroen;2005;1.322;1.340;t
Opel;2000;1.465;1.480;t
Fiat;2003;0.955;0.970;t
Renault;2002;1.120;1.140;t
Toyota;2002;0.830;0.850;t
Seat;2002;1.353;1.370;t
Opel;2000;1.123;1.140;t
Ford;1992;1.105;1.050;t
Volkswagen;1998;1.167;1.180;t
Skoda;2000;1.076;1.090;t
Renault;2002;1.250;1.270;t
Renault;2004;1.015;1.030;t
Volkswagen;1996;1.682;1.700;t
Rover;1997;1.180;1.200;t
Renault;2004;0.935;0.950;t
Volkswagen;1998;0.995;0.940;t
Daewoo;1999;0.795;0.810;t
Mazda;2003;1.335;1.350;t
Volkswagen;1998;1.140;1.160;t
Opel;2001;1.290;1.310;t
Alfa romeo;1995;1.175;1.190;t
Peugeot;1999;0.985;1.000;t
Seat;2002;1.643;1.660;t
Mercedes-benz;1997;1.660;1.680;t
Volkswagen;1999;1.395;1.410;t
Volkswagen;2000;0.993;1.010;t
Subaru;1998;1.460;1.480;t
Renault;1999;1.120;1.140;t
Volkswagen;1995;1.155;1.170;t
Renault;1997;1.090;1.110;t
Saab;2000;1.640;1.660;t
Opel;2003;1.463;1.480;t
Citroen;2004;1.353;1.370;t
Renault;2002;1.350;1.370;t
Toyota;2001;0.885;0.900;t
Seat;2000;1.063;1.080;t
Volkswagen;1997;1.155;1.170;t
Volkswagen;1991;0.865;0.880;t
Opel;1999;0.980;1.000;t
Opel;2005;1.530;1.550;t
Ford;1999;1.128;1.140;t
Opel;1996;0.815;0.830;t
Volkswagen;1997;1.335;1.350;t
Renault;2000;1.250;1.270;t
Opel;2003;1.463;1.480;t
Fiat;2000;1.000;1.020;t
Volkswagen;1998;1.314;1.330;t
Seat;2003;1.157;1.180;t
Volvo;1999;1.250;1.270;t
Opel;2001;0.965;0.980;t
Daewoo;2002;0.736;0.750;t
Alfa romeo;1999;1.205;1.220;t
Volkswagen;2005;2.261;2.280;f
Ford;1998;1.121;1.140;t
Opel;2005;1.295;1.310;t
Renault;1997;0.985;0.930;t
Alfa-romeo;2001;1.385;1.150;t
Renault;2002;1.010;1.030;t
Audi;1998;1.125;1.140;t
Mazda;2002;1.335;1.350;t
Nissan;1999;1.270;1.290;t
Opel;1999;1.238;1.260;t
Volkswagen;1995;1.065;1.080;t
Peugeot;2003;1.835;1.850;t
Mazda;2000;1.340;1.360;t
Citroen;2007;1.142;1.160;t
Renault;1992;0.935;0.950;t
Ford;1999;1.426;1.440;t
Fiat;1997;0.810;0.830;t
Volkswagen;1997;1.660;1.680;t
Ford;1997;1.262;1.280;t
Daewoo-fso;1999;1.070;1.090;t
Ford;2006;1.246;1.260;t
Citroen;2002;1.118;1.140;t
Renault;1999;1.055;1.070;t
Opel;2002;1.280;1.300;t
Mitsubishi;2002;0.985;1.000;t
Citroen;2004;1.057;1.070;t
Opel;2003;1.310;1.330;t
Fsm-bielsko b.;1996;0.635;0.650;t
Honda;1999;1.262;1.180;t
Fiat;1999;0.680;0.700;t
Volkswagen;2004;1.496;1.510;t
Opel;2004;1.573;1.590;t
Mercedes-benz;1998;1.055;1.070;t
Ford;2006;1.242;1.260;t
Citroen;2002;1.873;1.890;t
Audi;1996;1.260;1.280;t
Seat;2000;1.180;1.200;t
Skoda;2001;1.025;1.040;t
Volkswagen;1997;1.310;1.330;t
Seat;2002;1.125;1.140;t
Ford;2002;1.062;1.080;t
Skoda;2001;1.060;1.080;t
